Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000187664,HAPLN4,0.0025944857276451964,-0.9936665356425189,0.7504072580718618,0.003833074997943748,0.9936665356425189,0.7504072580718618
ENSG00000213996,TM6SF2,0.008071733374896166,-1.4576136354023097,0.13803244894517977,0.021081912488690617,1.4576136354023097,0.13803244894517977
ENSG00000105705,SUGP1,0.7440408514502501,-0.047410535680463106,1.0,0.7685315370877215,0.047410535680463106,1.0
ENSG00000129933,MAU2,0.9590948906528408,0.17214606247860673,0.9351568118975063,0.8509426495435122,-0.17214606247860673,0.9351568118975063
ENSG00000167491,GATAD2A,0.9870576812730169,0.15950710151046868,0.9574431967372434,0.883523787026034,-0.15950710151046868,0.9574431967372434
ENSG00000178093,TSSK6,0.031998657307624086,-0.5671333975258461,0.5046419579213653,0.04599689997532498,0.5671333975258461,0.5046419579213653
ENSG00000186010,NDUFA13,11.672014736291816,-0.12882515331685296,0.9092219703180916,12.781388580643428,0.12882515331685296,0.909221970318084
ENSG00000250067,YJEFN3,0.37850664004423806,0.07452857883596709,1.0,0.35839251230774044,-0.07452857883596709,1.0
ENSG00000160161,CILP2,0.08388837186052801,-0.9670723256308063,0.028845819528082912,0.1629056874126093,0.9670723256308063,0.028845819528082912
ENSG00000105717,PBX4,0.0368993525709539,-1.7194048743854715,1.6738287315100457e-05,0.12074186243522807,1.7194048743854715,1.6738287315100457e-05
ENSG00000064547,LPAR2,0.3565976494552342,-0.5963878829932543,0.1486839342701976,0.5385470372110966,0.5963878829932543,0.1486839342701976
ENSG00000089639,GMIP,0.41713564976695544,-0.9067432756672689,0.005722803848466847,0.7819472995805247,0.9067432756672689,0.005722803848466847
ENSG00000105726,ATP13A1,1.8876325049578606,-0.17769452592596569,0.8205058596619147,2.1369393113536397,0.17769452592596569,0.8205058596619147
ENSG00000181896,ZNF101,0.22197266780964456,-0.3298696387737081,0.5744354095200278,0.2778979373509218,0.3298696387737081,0.5744354095200278
ENSG00000105708,ZNF14,0.08677113378013379,-0.04681624216128366,1.0,0.08816072495270622,0.04681624216128366,1.0
ENSG00000266904,LINC00663,0.025656581084491384,0.9538660444633456,0.4115987414427722,0.011499224993831245,-0.9538660444633456,0.4115987414427722
ENSG00000081665,ZNF506,0.08619458139621262,-1.7112668049417943,8.090828530427198e-07,0.2817310123488655,1.7112668049417943,8.090828530427198e-07
ENSG00000267481,AC011477.2,0.005765523839211547,-1.9232772077511209,0.03427890239890947,0.021081912488690617,1.9232772077511209,0.03427890239890947
ENSG00000256771,ZNF253,0.07841112421327705,-0.2228374896100287,0.837588014464142,0.09007726245167809,0.2228374896100287,0.837588014464142
ENSG00000184635,ZNF93,0.03142210492370293,0.3502878655748427,0.8365870339398105,0.02299844998766249,-0.3502878655748427,0.8365870339398105
ENSG00000197124,ZNF682,0.23523337263983113,0.41999818227994545,0.579123077484757,0.17440491240644054,-0.41999818227994545,0.579123077484757
ENSG00000213988,ZNF90,0.06572697176701164,-0.1008817073407311,1.0,0.06899534996298747,0.1008817073407311,1.0
ENSG00000267383,AC011447.3,0.024503476316649075,0.8882777028357687,0.43371950432440565,0.011499224993831245,-0.8882777028357687,0.43371950432440565
ENSG00000256229,ZNF486,0.14298499121244637,0.3684889166259886,0.6937786413018344,0.10924263744139683,-0.3684889166259886,0.6937786413018344
ENSG00000237440,ZNF737,0.2228374963855263,0.32639881522765357,0.7128270902193585,0.17632144990541243,-0.32639881522765357,0.7128270902193585
ENSG00000268560,AC010636.1,0.0014413809598028868,-1.1456696290875676,0.8849893033098357,0.001916537498971874,1.1456696290875676,0.8849893033098357
ENSG00000188171,ZNF626,0.025944857276451964,-1.5447655844973918,0.0022135236504743764,0.07474496245990309,1.5447655844973918,0.0022135236504743764
ENSG00000268416,AC010329.1,0.04410625736996834,0.2882268974425912,0.926053378156811,0.03449767498149373,-0.2882268974425912,0.9260533781566936
ENSG00000160229,ZNF66,0.00547724764725097,1.591295965078638,0.5022892015977264,0.0,-1.591295965078638,0.5022892015977264
ENSG00000105750,ZNF85,0.10089666718620208,0.13973258977467928,1.0,0.09007726245167809,-0.13973258977467928,1.0
ENSG00000118620,ZNF430,0.11127461009678286,-0.47429237654893974,0.4209143994637259,0.15332299991774992,0.47429237654893974,0.4209143994637259
ENSG00000160352,ZNF714,0.051601438360943344,0.5912959650786371,0.6336690647613056,0.03258113748252186,-0.5912959650786371,0.6336690647613056
ENSG00000196705,ZNF431,0.28827619196057735,-0.11213402520380922,0.9209065943575124,0.3104790748334436,0.11213402520380922,0.9209065943575124
ENSG00000182141,ZNF708,0.09138355285150303,-0.09017451649586583,1.0,0.09582687494859371,0.09017451649586583,1.0
ENSG00000172687,ZNF738,0.09628424811483284,0.10279630385877203,1.0,0.08816072495270622,-0.10279630385877203,1.0
ENSG00000196268,ZNF493,0.20554092486789166,-0.19336637111886557,0.805436811198168,0.23381757487456864,0.19336637111886557,0.805436811198168
ENSG00000268119,AC010615.2,0.055925581240352004,1.5547700890535223,0.028086131769584518,0.017248837490746866,-1.5547700890535223,0.028086131769584518
ENSG00000268658,LINC00664,0.012972428638225982,1.7929298262482884,0.4209143994637259,0.001916537498971874,-1.7929298262482884,0.4209143994637259
ENSG00000197013,ZNF429,0.19314504861358683,0.21659333054272967,0.8880644354678412,0.1648222249115812,-0.21659333054272967,0.8880644354678412
ENSG00000268555,AC123912.4,0.004612419071369237,-0.6431692885583864,0.9995862377482122,0.005749612496915623,0.6431692885583864,0.9995862377482122
ENSG00000197020,ZNF100,0.17786641043967624,0.14851347531688885,0.9944457937074556,0.15907261241466555,-0.14851347531688885,0.9944457937074556
ENSG00000198521,ZNF43,0.2928886110319466,0.29368754938668773,0.7592951428794324,0.2376506498725124,-0.29368754938668773,0.7592951428794324
ENSG00000160321,ZNF208,0.00432414287940866,-2.3155946305298816,0.00640997417017655,0.021081912488690617,2.3155946305298816,0.00640997417017655
ENSG00000197134,ZNF257,0.0037475904954875055,-0.9232772077511218,0.6992750198355315,0.005749612496915623,0.9232772077511218,0.6992750198355315
ENSG00000196109,ZNF676,0.0005765523839211547,-1.1456696290875676,1.0,0.0,1.1456696290875676,1.0
ENSG00000197360,ZNF98,0.0,-3.7306321298087237,0.4209143994637259,0.001916537498971874,3.7306321298087237,0.4209143994637259
ENSG00000229676,ZNF492,0.0,-4.315594630529881,0.11948830826426526,0.003833074997943748,4.315594630529881,0.11948830826426526
ENSG00000268981,AC024563.1,0.00028827619196057733,-1.7306321298087237,1.0,0.0,1.7306321298087237,1.0
ENSG00000213973,ZNF99,0.0011531047678423093,-2.408704034921363,0.35547511886536026,0.005749612496915623,2.408704034921363,0.35547511886536026
ENSG00000183850,ZNF730,0.004612419071369237,1.3568307114416145,0.6151879485763088,0.0,-1.3568307114416145,0.6151879485763088
ENSG00000196081,ZNF724,0.001729657151763464,-0.92327720775112,1.0,0.001916537498971874,0.92327720775112,1.0
