Ligand,Receptor,LRscore,ligand_mean_expr,receptor_mean_expr,ligand_pct_expr,receptor_pct_expr
HLA-B__Malignant,CAP1__Stroma,2.9762637377281287,4.450106578742534,0.6688072937275878,69.03633491311216,13.217482885729332
LGALS3BP__Malignant,ITGB5__Stroma,2.960016416495907,3.484602378237509,0.8494560053629607,68.72037914691943,15.11321748288573
THBS1__Stroma,ENO1__Malignant,2.959208553210197,0.9685631156406587,3.0552562919483264,16.53501843075303,67.14060031595577
B2M__Malignant,CD74__Macrophage,2.959081914848828,4.6627616364755315,0.6346200268314651,69.06266456029489,8.293838862559241
HLA-B__Malignant,LAMP2__Stroma,2.951933014246131,4.450106578742534,0.6633398463639175,69.03633491311216,12.76987888362296
APP__Malignant,CD74__Stroma,2.948096564629946,2.2825478446454506,1.2915814980815332,62.32227488151659,20.221169036334913
THBS1__Stroma,ERBB2__Malignant,2.9420008389858636,0.9685631156406587,3.0374900628338186,16.53501843075303,66.58767772511848
CD9__Malignant,ITGB5__Stroma,2.9366561600059176,3.4571021235539154,0.8494560053629607,67.6408636124276,15.11321748288573
B2M__Malignant,HLA-F__Stroma,2.935032210315046,4.6627616364755315,0.6294622026901563,69.06266456029489,13.533438651922063
THBS1__Stroma,CD151__Malignant,2.9291683136604614,0.9685631156406587,3.02424102916923,16.53501843075303,67.19325961032122
BST2__Malignant,FLOT1__Stroma,2.9124627023770766,3.2050970023845986,0.908697209541614,67.58820431806214,16.903633491311215
MIF__Malignant,CD74__Macrophage,2.897516081874181,4.565749518402244,0.6346200268314651,69.06266456029489,8.293838862559241
HLA-A__Malignant,CAP1__Stroma,2.8780419336903993,4.3032454350933795,0.6688072937275878,69.08899420747761,13.217482885729332
TNFSF10__Malignant,FLOT1__Stroma,2.857729777135323,3.1448646998452707,0.908697209541614,66.29805160610847,16.903633491311215
HLA-A__Malignant,LAMP2__Stroma,2.854514165781072,4.3032454350933795,0.6633398463639175,69.08899420747761,12.76987888362296
EFNA1__Malignant,ITGB5__Stroma,2.838005995693203,3.340968782109631,0.8494560053629607,67.16692996313849,15.11321748288573
CDH1__Malignant,ITGB1__Stroma,2.8348628821714477,3.082696117276213,0.9196050386816123,65.82411795681938,15.876777251184834
TIMP3__Stroma,FLOT1__Malignant,2.8276807726095403,1.0308663439741617,2.7430139601884367,16.824644549763033,65.7451290152712
HLA-DRB1__Malignant,FLOT1__Stroma,2.827507343817223,3.111605619702012,0.908697209541614,68.27277514481305,16.903633491311215
HLA-B__Malignant,CD74__Macrophage,2.8241267564044663,4.450106578742534,0.6346200268314651,69.03633491311216,8.293838862559241
AZGP1__Malignant,ITGB5__Stroma,2.8240774574550764,3.324571772552703,0.8494560053629607,67.53554502369668,15.11321748288573
FN1__Stroma,TYROBP__Malignant,2.801175384050152,1.4325379738808335,1.9553934591078206,19.641916798314902,60.55818852027382
