pair,ligand_gene,receptor_gene,sender_cluster,receiver_cluster,n_sender,n_receiver,mean_score
CRTAM__Tcell|ERBB2__Macrophage,CRTAM,ERBB2,Tcell,Macrophage,9,315,2.2897873e-06
GZMB__Tcell|CAV1__Endothelial,GZMB,CAV1,Tcell,Endothelial,9,62,2.289267e-06
HGF__Tcell|AMFR__Stroma,HGF,AMFR,Tcell,Stroma,9,768,2.2889851e-06
F10__Bcell|AR__Stroma,F10,AR,Bcell,Stroma,20,768,2.2886327e-06
CCL13__Bcell|S1PR2__Stroma,CCL13,S1PR2,Bcell,Stroma,20,768,2.288273e-06
HBEGF__Macrophage|SDC2__Bcell,HBEGF,SDC2,Macrophage,Bcell,315,20,2.284421e-06
FASLG__Tcell|ITGB4__Stroma,FASLG,ITGB4,Tcell,Stroma,9,768,2.283699e-06
CFH__Tcell|TNFRSF25__Macrophage,CFH,TNFRSF25,Tcell,Macrophage,9,315,2.2797387e-06
IL6__Endothelial|SDC1__Bcell,IL6,SDC1,Endothelial,Bcell,62,20,2.2792583e-06
SLIT2__Tcell|ROR2__Stroma,SLIT2,ROR2,Tcell,Stroma,9,768,2.2791567e-06
ANGPT1__Bcell|S1PR2__Stroma,ANGPT1,S1PR2,Bcell,Stroma,20,768,2.2779318e-06
TF__Tcell|NOTCH2__Stroma,TF,NOTCH2,Tcell,Stroma,9,768,2.2759407e-06
LAMA1__Bcell|CADM1__Stroma,LAMA1,CADM1,Bcell,Stroma,20,768,2.2746344e-06
FREM1__Bcell|EDNRA__Stroma,FREM1,EDNRA,Bcell,Stroma,20,768,2.273962e-06
IL15__Endothelial|CD40__Bcell,IL15,CD40,Endothelial,Bcell,62,20,2.2721592e-06
HBEGF__Macrophage|ITGA6__Bcell,HBEGF,ITGA6,Macrophage,Bcell,315,20,2.268297e-06
ANGPT2__Bcell|VANGL1__Stroma,ANGPT2,VANGL1,Bcell,Stroma,20,768,2.2681443e-06
TNFSF14__Tcell|S1PR1__Stroma,TNFSF14,S1PR1,Tcell,Stroma,9,768,2.2669774e-06
VCAM1__Tcell|ITGAL__Bcell,VCAM1,ITGAL,Tcell,Bcell,9,20,2.2667195e-06
CX3CL1__Endothelial|BMPR1A__Bcell,CX3CL1,BMPR1A,Endothelial,Bcell,62,20,2.2639047e-06
