ligand,receptor,combo,mean_score,median_score,max_score,sum_score,sd_score,ligand_mean_expr,receptor_mean_expr
HLA-C__Malignant,CD9__Macrophage,HLA-C__Malignant|CD9__Macrophage,7.696975929870289,4.88735175885251,128.4611166142838,29233.11458164736,10.583612173379379,20.50116626115124,0.48731400001282016
CD9__Malignant,CD81__Macrophage,CD9__Malignant|CD81__Macrophage,7.6185973238075775,5.4971364508213325,54.078907978240444,28935.43263582118,8.39212506980265,10.56470171391948,1.0129718986130358
PSAP__Macrophage,ADORA2A__Malignant,PSAP__Macrophage|ADORA2A__Malignant,7.59238836574919,0,325.50558950672286,28835.891013115423,30.17687129154653,4.120553171189394,2.602417410654269
HLA-A__Malignant,ITGB5__Stroma,HLA-A__Malignant|ITGB5__Stroma,7.577892975255658,5.880754056422761,116.72480678835062,28780.83752002099,8.619691700800447,31.03118324208266,0.39099841019172027
C1QA__Macrophage,IL6ST__Malignant,C1QA__Macrophage|IL6ST__Malignant,7.562084241396779,0,368.90680453056615,28720.795948824965,29.335113244039878,1.2498494337199684,7.972520223468345
ITGB2__Macrophage,CD74__Malignant,ITGB2__Macrophage|CD74__Malignant,7.474997934330903,0,380.1838644807353,28390.042154588773,31.788168247236975,0.37840045546879175,27.971675213352512
C1QB__Macrophage,IL6ST__Malignant,C1QB__Macrophage|IL6ST__Malignant,7.437565305959104,0,451.37808855816564,28247.873032032676,29.825194348460396,1.208112352032999,7.972520223468345
HSPA1A__Malignant,CD63__Macrophage,HSPA1A__Malignant|CD63__Macrophage,7.43746578556944,5.103750086635892,156.53563047898416,28247.495053592735,8.620127280221668,12.164245659901171,0.8955163413277767
C1QA__Macrophage,CD63__Malignant,C1QA__Macrophage|CD63__Malignant,7.411212314572438,0,297.03417631738233,28147.78437074612,28.50928364305729,1.2498494337199684,8.437647616205767
UBA52__Malignant,IL6ST__Stroma,UBA52__Malignant|IL6ST__Stroma,7.384183982136511,5.881191579854367,47.4039915211575,28045.130764154466,7.74046897038874,15.977123501653127,0.7118768139545881
