Sender,Receiver,Ligand,Receptor,LRscore,all
Macrophage,Stroma,C1QA,ITGB5,13.965282700355996,Macrophage_C1QA_Stroma_ITGB5
Macrophage,Malignant,ANXA2,PLXNB2,13.381331183827346,Macrophage_ANXA2_Malignant_PLXNB2
Macrophage,Malignant,HLA-DRA,FLOT1,20.64861669474316,Macrophage_HLA-DRA_Malignant_FLOT1
Macrophage,Stroma,HLA-DRA,FLOT1,19.856579331036045,Macrophage_HLA-DRA_Stroma_FLOT1
Malignant,Macrophage,MIF,FLOT1,22.304203556001074,Malignant_MIF_Macrophage_FLOT1
Malignant,Stroma,MIF,FLOT1,22.995276546737465,Malignant_MIF_Stroma_FLOT1
Macrophage,Malignant,VIM,ERBB2,16.983596903987976,Macrophage_VIM_Malignant_ERBB2
Malignant,Macrophage,LGALS3BP,FLOT1,18.916718985408405,Malignant_LGALS3BP_Macrophage_FLOT1
Malignant,Stroma,LGALS3BP,FLOT1,18.969181768159455,Malignant_LGALS3BP_Stroma_FLOT1
Macrophage,Malignant,GRN,CD151,18.5627761797021,Macrophage_GRN_Malignant_CD151
Malignant,Macrophage,BST2,FLOT1,16.482719058186294,Malignant_BST2_Macrophage_FLOT1
Malignant,Stroma,BST2,FLOT1,16.75843124888688,Malignant_BST2_Stroma_FLOT1
Stroma,Macrophage,FN1,FLOT1,18.03251479506962,Stroma_FN1_Macrophage_FLOT1
Stroma,Malignant,FN1,FLOT1,19.1866435506161,Stroma_FN1_Malignant_FLOT1
Macrophage,Malignant,VIM,ITGB5,13.721242320301972,Macrophage_VIM_Malignant_ITGB5
Macrophage,Stroma,VIM,ITGB5,14.69346315858409,Macrophage_VIM_Stroma_ITGB5
Macrophage,Stroma,LYZ,LAMP2,13.49442765909425,Macrophage_LYZ_Stroma_LAMP2
Macrophage,Malignant,HLA-DMA,ENO1,12.625869532729858,Macrophage_HLA-DMA_Malignant_ENO1
Malignant,Stroma,HLA-DRB1,ITGB5,14.952029930494211,Malignant_HLA-DRB1_Stroma_ITGB5
Macrophage,Malignant,APOE,PLXNB2,21.91141305072729,Macrophage_APOE_Malignant_PLXNB2
Macrophage,Malignant,HLA-DRA,ITGB5,17.406868854304797,Macrophage_HLA-DRA_Malignant_ITGB5
