Sender,Receiver,Ligand,Receptor,LRscore
Malignant,Stroma,SEMA5A,PLXNA3,0
Malignant,Stroma,SERTAD1,AR,0
Malignant,Stroma,SFRP1,FZD2,0
Malignant,Stroma,SIRPG,CD47,0
Malignant,Stroma,SORBS1,ITGB5,0.005752826803849234
Malignant,Stroma,SORBS1,ITGA1,5.675969753810378e-4
Malignant,Stroma,SPN,SIGLEC1,0
Malignant,Stroma,TFF3,CXCR4,0.10699973768733025
Malignant,Stroma,TGFA,ERBB3,0
Malignant,Stroma,TGM2,ITGB1,0
Malignant,Stroma,TGM2,SDC4,0
Malignant,Stroma,THBS3,ITGB1,0.0746008536808238
Malignant,Stroma,THBS3,SDC4,0
Malignant,Stroma,THBS3,ITGAV,0.03743718037213299
Malignant,Stroma,THBS3,SDC1,0.07499674775369738
Malignant,Stroma,THBS3,CD47,0
Malignant,Stroma,TNFSF15,TNFRSF6B,0
Malignant,Stroma,UBA52,NOTCH1,0
Malignant,Stroma,VEGFA,ITGB1,0.08213839126141387
Malignant,Stroma,VEGFA,ITGAV,0.041400930013419615
Malignant,Stroma,VEGFA,NRP1,0.018964783690667557
Malignant,Stroma,VEGFA,SIRPA,0
Malignant,Stroma,VEGFA,NRP2,0
Malignant,Stroma,WNT3,LRP5,0
Malignant,Stroma,WNT3,FZD1,0
Malignant,Stroma,WNT3,FZD2,0
Malignant,Stroma,WNT5A,LRP5,0
Malignant,Stroma,WNT5A,ROR2,0
Malignant,Stroma,WNT5A,FZD1,0
Malignant,Stroma,WNT5A,FZD2,0
Malignant,Stroma,WNT7B,LRP5,0
Malignant,Stroma,WNT7B,FZD1,0
Malignant,Stroma,WNT7B,FZD2,0
Malignant,Stroma,YBX1,NOTCH1,0
Malignant,Stroma,ZG16B,CXCR4,0.028407480653639967
Tcell,Bcell,ADAM12,ITGB1,0
Tcell,Bcell,ADAM12,SDC4,0
Tcell,Bcell,ANGPT2,ITGB1,0
Tcell,Bcell,BMP2,BMPR1A,0
Tcell,Bcell,BMP2,ENG,0
Tcell,Bcell,CD226,PVR,0
Tcell,Bcell,CD40LG,ITGB1,0
Tcell,Bcell,CD40LG,ITGAM,0
Tcell,Bcell,CD40LG,ITGB2,0
Tcell,Bcell,CD40LG,CD40,0
Tcell,Bcell,CD40LG,TRAF3,0
Tcell,Bcell,CD96,PVR,0
Tcell,Bcell,CFH,ITGAM,0
Tcell,Bcell,COL4A3,ITGB1,0
Tcell,Bcell,COL4A3,SDC4,0
Tcell,Bcell,COL4A3,SDC1,0
